fips,state_abbr,county_name,ur_code,ur_label,is_urban,park_access_pct,inactivity_rate,obesity_rate,smoking_rate,life_expectancy,inactivity_zscore,le_deficit,park_quartile
01001,AL,Autauga,3,Medium metro,1,38.9,27.0,39.5,14.5,75.263497074,0.27900648495293345,0.7172150690000052,Q3
01003,AL,Baldwin,4,Small metro,1,37.2,23.7,35.0,13.0,76.738313887,-0.3957215957958462,-0.7576017439999987,Q2
01005,AL,Barbour,6,Non-core (rural),0,43.4,34.5,47.1,20.2,72.377024232,1.8124793957456142,3.6036879110000086,Q4 (highest)
01007,AL,Bibb,2,Large fringe metro,1,39.6,31.9,43.9,19.7,72.251369089,1.2808754533374846,3.7293430540000116,Q3
01009,AL,Blount,2,Large fringe metro,1,37.7,29.1,36.1,16.6,73.376568119,0.7083788999748843,2.604144024000007,Q3
01011,AL,Bullock,6,Non-core (rural),0,48.9,42.7,51.3,24.9,72.100111622,3.489076444878946,3.880600521000005,Q4 (highest)
01013,AL,Butler,6,Non-core (rural),0,42.0,35.1,40.4,18.3,73.1898895,1.935157228609029,2.7908226429999985,Q4 (highest)
01015,AL,Calhoun,4,Small metro,1,38.9,31.9,38.6,16.3,71.694077832,1.2808754533374846,4.286634311,Q3
01017,AL,Chambers,5,Micropolitan,0,43.9,34.3,41.6,18.2,72.46019745,1.7715867847911422,3.5205146930000097,Q4 (highest)
01019,AL,Cherokee,6,Non-core (rural),0,37.8,31.4,39.5,17.5,72.711629744,1.178643925951306,3.2690823989999984,Q3
01021,AL,Chilton,2,Large fringe metro,1,42.3,31.1,40.0,17.1,73.487855388,1.1173050095195993,2.4928567550000054,Q4 (highest)
01023,AL,Choctaw,6,Non-core (rural),0,44.7,36.4,44.4,19.1,73.840201715,2.2009591998130933,2.140510427999999,Q4 (highest)
01025,AL,Clarke,6,Non-core (rural),0,43.4,34.4,43.9,18.3,70.976784154,1.7920330902683783,5.003927989000005,Q4 (highest)
01027,AL,Clay,6,Non-core (rural),0,41.6,32.7,42.4,18.7,71.805610712,1.4444458971553715,4.175101431000002,Q4 (highest)
01029,AL,Cleburne,6,Non-core (rural),0,36.1,28.7,37.1,17.8,72.033794262,0.626593678065941,3.9469178810000045,Q2
01031,AL,Coffee,5,Micropolitan,0,39.5,28.8,41.0,16.7,74.199405108,0.647039983543177,1.7813070350000118,Q3
01033,AL,Colbert,4,Small metro,1,39.3,28.6,37.5,16.6,73.549426021,0.6061473725887057,2.431286122000003,Q3
01035,AL,Conecuh,6,Non-core (rural),0,45.3,39.4,46.4,20.5,69.452704307,2.8143483641301654,6.5280078360000005,Q4 (highest)
01037,AL,Coosa,5,Micropolitan,0,39.0,33.5,41.9,18.3,73.065427346,1.6080163409732569,2.915284796999998,Q3
01039,AL,Covington,6,Non-core (rural),0,40.2,31.9,38.1,18.3,71.329176478,1.2808754533374846,4.6515356650000115,Q3
01041,AL,Crenshaw,6,Non-core (rural),0,38.2,30.9,40.5,18.1,70.942186741,1.0764123985651273,5.038525402000005,Q3
01043,AL,Cullman,5,Micropolitan,0,37.7,25.9,36.4,16.6,72.948149151,0.05409712470334001,3.0325629920000097,Q3
01045,AL,Dale,5,Micropolitan,0,38.9,31.7,41.3,18.0,73.312265613,1.2399828423830133,2.6684465300000113,Q3
01047,AL,Dallas,5,Micropolitan,0,44.6,36.1,46.3,20.1,69.278314639,2.1396202833813867,6.702397504000004,Q4 (highest)
01049,AL,DeKalb,6,Non-core (rural),0,41.0,32.6,38.6,19.9,72.614790165,1.4239995916781354,3.365921978000003,Q4 (highest)
01051,AL,Elmore,3,Medium metro,1,38.8,25.4,38.7,15.1,74.601365722,-0.048134402682838716,1.3793464210000081,Q3
01053,AL,Escambia,6,Non-core (rural),0,45.8,35.7,43.9,21.2,70.793018347,2.057835061472444,5.187693796000005,Q4 (highest)
01055,AL,Etowah,4,Small metro,1,39.3,31.7,43.6,18.1,71.229589041,1.2399828423830133,4.751123102000008,Q3
01057,AL,Fayette,6,Non-core (rural),0,37.7,30.6,40.6,18.7,71.289393243,1.0150734821334206,4.691318899999999,Q3
01059,AL,Franklin,6,Non-core (rural),0,39.1,33.9,42.2,19.5,72.368356465,1.6898015628821994,3.612355678,Q3
01061,AL,Geneva,4,Small metro,1,41.6,32.0,42.3,19.4,71.061766946,1.3013217588147206,4.918945196999999,Q4 (highest)
01063,AL,Greene,6,Non-core (rural),0,52.0,44.7,53.4,22.3,71.665235305,3.8980025544236607,4.315476838000009,Q4 (highest)
01065,AL,Hale,4,Small metro,1,46.1,34.4,47.8,19.5,70.214238739,1.7920330902683783,5.76647340400001,Q4 (highest)
01067,AL,Henry,4,Small metro,1,38.3,29.1,41.2,16.6,74.285708311,0.7083788999748843,1.6950038320000118,Q3
01069,AL,Houston,4,Small metro,1,39.6,27.7,40.5,16.3,74.093187709,0.42213062329358353,1.8875244339999995,Q3
01071,AL,Jackson,5,Micropolitan,0,37.7,32.5,39.3,19.4,71.510225461,1.4035532862008995,4.470486682000001,Q3
01073,AL,Jefferson,1,Large central metro,1,39.3,27.4,37.6,14.1,72.922522753,0.36079170686187617,3.0581893900000097,Q3
01075,AL,Lamar,6,Non-core (rural),0,38.7,30.0,40.8,19.5,73.109501462,0.8923956492700058,2.871210681000008,Q3
01077,AL,Lauderdale,4,Small metro,1,38.0,25.8,36.7,14.2,75.365040696,0.033650819226104696,0.6156714470000111,Q3
01079,AL,Lawrence,4,Small metro,1,41.3,29.4,39.5,18.5,71.565076781,0.769717816406591,4.415635362000003,Q4 (highest)
01081,AL,Lee,4,Small metro,1,38.9,25.7,39.9,13.8,77.156826844,0.013204513748868664,-1.1761147009999888,Q3
01083,AL,Limestone,3,Medium metro,1,36.6,25.4,39.6,14.2,76.438374437,-0.048134402682838716,-0.4576622939999879,Q2
01085,AL,Lowndes,3,Medium metro,1,47.4,39.3,51.2,21.6,68.417254989,2.7939020586529293,7.563457154000005,Q4 (highest)
01087,AL,Macon,6,Non-core (rural),0,47.9,35.2,46.7,17.9,72.048650373,1.955603534086265,3.9320617700000042,Q4 (highest)
01089,AL,Madison,3,Medium metro,1,41.9,22.7,39.9,12.0,76.651733256,-0.6001846505682037,-0.6710211129999948,Q4 (highest)
01091,AL,Marengo,6,Non-core (rural),0,47.2,34.6,43.1,18.0,70.686985687,1.8329257012228504,5.293726456000002,Q4 (highest)
01093,AL,Marion,6,Non-core (rural),0,39.2,30.1,42.5,18.5,72.449370345,0.9128419547472418,3.5313417979999997,Q3
01095,AL,Marshall,5,Micropolitan,0,34.599999999999994,29.7,37.6,16.6,72.597883193,0.8310567328382984,3.382828950000004,Q1 (lowest)
01097,AL,Mobile,3,Medium metro,1,40.6,30.7,39.0,15.4,73.044812653,1.0355197876106559,2.9358994900000113,Q4 (highest)
01099,AL,Monroe,6,Non-core (rural),0,44.2,36.8,43.8,20.4,71.527842283,2.2827444217220356,4.452869860000007,Q4 (highest)
01101,AL,Montgomery,3,Medium metro,1,38.2,29.9,46.1,14.8,73.718133523,0.8719493437927698,2.2625786199999993,Q3
01103,AL,Morgan,4,Small metro,1,42.7,29.8,38.6,16.3,73.150976298,0.8515030383155344,2.829735845000002,Q4 (highest)
01105,AL,Perry,6,Non-core (rural),0,52.5,42.1,54.0,21.9,69.037542684,3.366398612015531,6.9431694590000035,Q4 (highest)
01107,AL,Pickens,4,Small metro,1,44.9,33.4,48.0,18.7,72.201316812,1.5875700354960207,3.7793953310000035,Q4 (highest)
01109,AL,Pike,5,Micropolitan,0,41.5,29.2,43.3,17.2,72.138563949,0.7288252054521197,3.8421481940000035,Q4 (highest)
01111,AL,Randolph,6,Non-core (rural),0,40.1,30.0,38.0,16.9,72.971422419,0.8923956492700058,3.0092897239999985,Q3
01113,AL,Russell,3,Medium metro,1,43.8,33.2,43.0,18.1,71.542867908,1.5466774245415502,4.437844235,Q4 (highest)
01115,AL,St. Clair,2,Large fringe metro,1,39.2,26.3,39.6,15.2,73.587276987,0.1358823466122834,2.3934351560000096,Q3
01117,AL,Shelby,2,Large fringe metro,1,33.300000000000004,20.7,31.6,10.5,79.557887079,-1.0091107601129186,-3.5771749359999916,Q1 (lowest)
01119,AL,Sumter,6,Non-core (rural),0,47.5,35.7,50.0,16.3,71.33240161,2.057835061472444,4.648310533,Q4 (highest)
01121,AL,Talladega,5,Micropolitan,0,42.1,32.6,45.4,17.7,71.090707701,1.4239995916781354,4.890004442000006,Q4 (highest)
01123,AL,Tallapoosa,6,Non-core (rural),0,41.2,30.0,39.6,16.9,72.780757424,0.8923956492700058,3.1999547190000044,Q4 (highest)
01125,AL,Tuscaloosa,4,Small metro,1,41.6,25.9,41.0,13.6,74.855374404,0.05409712470334001,1.1253377390000026,Q4 (highest)
01127,AL,Walker,2,Large fringe metro,1,38.0,30.6,35.7,18.9,68.375133725,1.0150734821334206,7.6055784180000074,Q3
