fips,state_abbr,county_name,smoking_rate,inactivity_rate,obesity_rate
01001,AL,Autauga,14.5,27.0,39.5
01003,AL,Baldwin,13.0,23.7,35.0
01005,AL,Barbour,20.2,34.5,47.1
01007,AL,Bibb,19.7,31.9,43.9
01009,AL,Blount,16.6,29.1,36.1
01011,AL,Bullock,24.9,42.7,51.3
01013,AL,Butler,18.3,35.1,40.4
01015,AL,Calhoun,16.3,31.9,38.6
01017,AL,Chambers,18.2,34.3,41.6
01019,AL,Cherokee,17.5,31.4,39.5
01021,AL,Chilton,17.1,31.1,40.0
01023,AL,Choctaw,19.1,36.4,44.4
01025,AL,Clarke,18.3,34.4,43.9
01027,AL,Clay,18.7,32.7,42.4
01029,AL,Cleburne,17.8,28.7,37.1
01031,AL,Coffee,16.7,28.8,41.0
01033,AL,Colbert,16.6,28.6,37.5
01035,AL,Conecuh,20.5,39.4,46.4
01037,AL,Coosa,18.3,33.5,41.9
01039,AL,Covington,18.3,31.9,38.1
01041,AL,Crenshaw,18.1,30.9,40.5
01043,AL,Cullman,16.6,25.9,36.4
01045,AL,Dale,18.0,31.7,41.3
01047,AL,Dallas,20.1,36.1,46.3
01049,AL,DeKalb,19.9,32.6,38.6
01051,AL,Elmore,15.1,25.4,38.7
01053,AL,Escambia,21.2,35.7,43.9
01055,AL,Etowah,18.1,31.7,43.6
01057,AL,Fayette,18.7,30.6,40.6
01059,AL,Franklin,19.5,33.9,42.2
01061,AL,Geneva,19.4,32.0,42.3
01063,AL,Greene,22.3,44.7,53.4
01065,AL,Hale,19.5,34.4,47.8
01067,AL,Henry,16.6,29.1,41.2
01069,AL,Houston,16.3,27.7,40.5
01071,AL,Jackson,19.4,32.5,39.3
01073,AL,Jefferson,14.1,27.4,37.6
01075,AL,Lamar,19.5,30.0,40.8
01077,AL,Lauderdale,14.2,25.8,36.7
01079,AL,Lawrence,18.5,29.4,39.5
01081,AL,Lee,13.8,25.7,39.9
01083,AL,Limestone,14.2,25.4,39.6
01085,AL,Lowndes,21.6,39.3,51.2
01087,AL,Macon,17.9,35.2,46.7
01089,AL,Madison,12.0,22.7,39.9
01091,AL,Marengo,18.0,34.6,43.1
01093,AL,Marion,18.5,30.1,42.5
01095,AL,Marshall,16.6,29.7,37.6
01097,AL,Mobile,15.4,30.7,39.0
01099,AL,Monroe,20.4,36.8,43.8
01101,AL,Montgomery,14.8,29.9,46.1
01103,AL,Morgan,16.3,29.8,38.6
01105,AL,Perry,21.9,42.1,54.0
01107,AL,Pickens,18.7,33.4,48.0
01109,AL,Pike,17.2,29.2,43.3
01111,AL,Randolph,16.9,30.0,38.0
01113,AL,Russell,18.1,33.2,43.0
01115,AL,St. Clair,15.2,26.3,39.6
01117,AL,Shelby,10.5,20.7,31.6
01119,AL,Sumter,16.3,35.7,50.0
01121,AL,Talladega,17.7,32.6,45.4
01123,AL,Tallapoosa,16.9,30.0,39.6
01125,AL,Tuscaloosa,13.6,25.9,41.0
01127,AL,Walker,18.9,30.6,35.7
01129,AL,Washington,17.9,29.9,41.1
01131,AL,Wilcox,21.6,39.1,51.2
01133,AL,Winston,19.6,31.8,39.0
02013,AK,Aleutians East,17.0,28.5,30.7
02016,AK,Aleutians West,16.2,25.2,31.9
02020,AK,Anchorage,14.1,19.8,35.0
02050,AK,Bethel,31.0,33.3,39.1
02060,AK,Bristol Bay,16.5,20.7,34.5
02063,AK,Chugach,14.7,20.2,30.7
02066,AK,Copper River,17.8,21.7,33.6
02068,AK,Denali,16.3,20.9,31.3
02070,AK,Dillingham,25.7,29.3,38.5
02090,AK,Fairbanks North Star,14.3,21.2,35.3
02100,AK,Haines,13.8,20.1,33.3
02105,AK,Hoonah-Angoon,19.7,24.3,36.4
02110,AK,Juneau,13.9,17.0,35.0
02122,AK,Kenai Peninsula,16.2,21.5,32.0
02130,AK,Ketchikan Gateway,15.9,21.0,37.7
02150,AK,Kodiak Island,15.0,22.7,31.5
02158,AK,Kusilvak,36.6,38.5,46.5
02164,AK,Lake and Peninsula,24.7,28.7,38.6
02170,AK,Matanuska-Susitna,17.3,22.7,37.0
02180,AK,Nome,28.7,29.3,38.8
02185,AK,North Slope,19.9,23.6,42.3
02188,AK,Northwest Arctic,28.6,30.8,40.9
02195,AK,Petersburg,15.3,20.4,30.8
02198,AK,Prince of Wales-Hyder,22.0,25.1,37.7
02220,AK,Sitka,13.9,19.2,29.7
02230,AK,Skagway,14.6,20.8,36.2
02240,AK,Southeast Fairbanks,18.0,25.8,35.0
02275,AK,Wrangell,17.0,24.6,35.0
02282,AK,Yakutat,20.5,25.2,35.4
02290,AK,Yukon-Koyukuk,27.5,29.4,36.9
04001,AZ,Apache,23.1,27.8,36.0
04003,AZ,Cochise,13.4,24.2,31.2
04005,AZ,Coconino,12.9,16.8,25.3
04007,AZ,Gila,15.4,27.4,32.2
04009,AZ,Graham,15.5,25.6,36.3
04011,AZ,Greenlee,11.6,23.1,33.1
04012,AZ,La Paz,14.1,32.1,36.1
04013,AZ,Maricopa,11.0,20.4,30.6
04015,AZ,Mohave,17.1,26.6,33.3
04017,AZ,Navajo,19.5,26.4,37.9
04019,AZ,Pima,11.3,22.3,32.2
04021,AZ,Pinal,12.7,25.5,38.4
04023,AZ,Santa Cruz,12.0,31.4,34.8
04025,AZ,Yavapai,12.0,22.5,27.0
04027,AZ,Yuma,12.7,28.5,39.0
05001,AR,Arkansas,17.6,33.7,39.0
05003,AR,Ashley,20.7,41.9,45.2
05005,AR,Baxter,16.6,33.4,37.7
05007,AR,Benton,11.7,25.7,35.3
05009,AR,Boone,16.4,30.8,40.7
05011,AR,Bradley,18.9,40.3,42.5
05013,AR,Calhoun,16.6,31.5,39.2
05015,AR,Carroll,17.0,34.5,37.7
05017,AR,Chicot,19.7,42.2,47.1
05019,AR,Clark,17.4,32.1,40.0
05021,AR,Clay,18.3,35.8,40.2
05023,AR,Cleburne,17.4,34.6,37.9
05025,AR,Cleveland,18.2,32.4,42.2
05027,AR,Columbia,18.0,34.6,39.9
05029,AR,Conway,18.8,36.5,41.1
05031,AR,Craighead,16.2,30.9,39.6
05033,AR,Crawford,17.1,29.9,38.8
05035,AR,Crittenden,18.5,38.7,46.8
05037,AR,Cross,19.8,36.9,45.0
05039,AR,Dallas,16.3,37.8,41.9
05041,AR,Desha,23.0,44.3,46.6
05043,AR,Drew,18.6,35.8,43.8
05045,AR,Faulkner,13.6,26.6,39.8
05047,AR,Franklin,19.5,35.5,39.8
05049,AR,Fulton,21.4,37.8,39.6
05051,AR,Garland,15.5,28.3,39.1
05053,AR,Grant,15.6,29.6,36.6
05055,AR,Greene,18.5,35.0,42.3
05057,AR,Hempstead,17.7,39.7,45.6
05059,AR,Hot Spring,18.6,34.4,36.9
05061,AR,Howard,17.1,34.4,39.4
05063,AR,Independence,17.8,34.1,41.6
05065,AR,Izard,20.5,37.3,41.2
05067,AR,Jackson,21.1,39.5,43.9
05069,AR,Jefferson,17.3,37.0,46.3
05071,AR,Johnson,18.7,35.7,37.5
05073,AR,Lafayette,22.6,43.5,46.3
05075,AR,Lawrence,20.6,34.8,43.7
05077,AR,Lee,22.3,41.2,47.0
05079,AR,Lincoln,19.9,36.1,42.8
05081,AR,Little River,17.8,34.6,41.3
05083,AR,Logan,18.3,33.8,37.7
05085,AR,Lonoke,15.9,31.0,36.1
05087,AR,Madison,19.0,33.4,40.8
05089,AR,Marion,18.0,31.3,37.9
05091,AR,Miller,19.1,37.9,38.1
05093,AR,Mississippi,19.1,36.7,46.6
05095,AR,Monroe,19.1,36.8,43.7
05097,AR,Montgomery,18.8,32.6,41.1
05099,AR,Nevada,21.1,40.8,44.1
05101,AR,Newton,18.7,31.1,38.6
05103,AR,Ouachita,18.2,35.8,43.4
05105,AR,Perry,18.0,32.0,38.6
05107,AR,Phillips,21.8,41.9,48.6
05109,AR,Pike,17.9,32.4,38.2
05111,AR,Poinsett,20.4,38.7,41.3
05113,AR,Polk,19.4,33.5,40.2
05115,AR,Pope,16.4,33.7,45.3
05117,AR,Prairie,18.1,32.1,40.5
05119,AR,Pulaski,13.4,28.4,40.6
05121,AR,Randolph,20.0,36.1,41.4
05123,AR,St. Francis,21.8,42.5,48.2
05125,AR,Saline,14.2,29.1,34.5
05127,AR,Scott,19.1,36.7,37.0
05129,AR,Searcy,21.7,35.3,39.9
05131,AR,Sebastian,16.5,32.5,36.4
05133,AR,Sevier,18.8,40.0,41.5
05135,AR,Sharp,19.3,37.7,39.5
05137,AR,Stone,19.7,34.4,40.1
05139,AR,Union,18.1,34.5,39.4
05141,AR,Van Buren,19.3,37.0,39.6
05143,AR,Washington,14.2,27.5,36.7
05145,AR,White,17.9,32.5,39.7
05147,AR,Woodruff,21.3,40.7,39.2
05149,AR,Yell,18.6,35.5,41.9
06001,CA,Alameda,9.2,20.1,22.8
06003,CA,Alpine,11.0,18.0,28.4
06005,CA,Amador,12.4,22.7,29.5
06007,CA,Butte,13.9,22.7,30.6
06009,CA,Calaveras,13.4,24.8,29.8
06011,CA,Colusa,13.5,30.3,35.3
06013,CA,Contra Costa,9.3,22.7,27.8
06015,CA,Del Norte,15.0,24.2,31.0
06017,CA,El Dorado,10.6,17.9,27.7
06019,CA,Fresno,13.4,30.9,37.9
06021,CA,Glenn,14.2,28.0,32.1
06023,CA,Humboldt,14.2,23.2,32.1
06025,CA,Imperial,12.9,35.1,35.2
06027,CA,Inyo,12.4,21.1,28.2
06029,CA,Kern,14.7,31.9,36.2
06031,CA,Kings,14.8,30.4,34.9
06033,CA,Lake,15.6,25.9,32.7
06035,CA,Lassen,16.2,25.6,34.3
06037,CA,Los Angeles,11.2,26.2,26.4
06039,CA,Madera,14.8,31.6,36.5
06041,CA,Marin,8.4,16.6,21.3
06043,CA,Mariposa,12.6,22.0,30.5
06045,CA,Mendocino,14.3,26.0,29.5
06047,CA,Merced,14.1,33.2,34.3
06049,CA,Modoc,14.8,24.6,31.9
06051,CA,Mono,11.7,21.5,30.9
06053,CA,Monterey,12.1,27.0,31.1
06055,CA,Napa,10.4,23.5,28.2
06057,CA,Nevada,11.0,18.2,27.6
06059,CA,Orange,9.3,23.4,23.9
06061,CA,Placer,9.6,17.9,27.3
06063,CA,Plumas,13.7,24.0,29.9
06065,CA,Riverside,11.6,27.3,36.8
06067,CA,Sacramento,11.8,21.1,29.5
06069,CA,San Benito,10.8,25.0,31.3
06071,CA,San Bernardino,12.4,26.3,33.3
06073,CA,San Diego,10.1,20.6,25.3
06075,CA,San Francisco,8.8,18.5,17.1
06077,CA,San Joaquin,12.7,25.9,30.7
06079,CA,San Luis Obispo,10.2,20.1,26.1
06081,CA,San Mateo,8.0,20.2,22.3
06083,CA,Santa Barbara,10.7,24.1,26.1
06085,CA,Santa Clara,8.1,22.2,21.9
06087,CA,Santa Cruz,10.7,20.4,26.8
06089,CA,Shasta,14.1,22.2,29.3
06091,CA,Sierra,15.6,24.0,32.4
06093,CA,Siskiyou,15.2,25.8,31.8
06095,CA,Solano,11.3,24.3,31.3
