fips,ur_code,state_abbr,county_name,is_urban
01001,3,AL,Autauga County,1
01003,4,AL,Baldwin County,1
01005,6,AL,Barbour County,0
01007,2,AL,Bibb County,1
01009,2,AL,Blount County,1
01011,6,AL,Bullock County,0
01013,6,AL,Butler County,0
01015,4,AL,Calhoun County,1
01017,5,AL,Chambers County,0
01019,6,AL,Cherokee County,0
01021,2,AL,Chilton County,1
01023,6,AL,Choctaw County,0
01025,6,AL,Clarke County,0
01027,6,AL,Clay County,0
01029,6,AL,Cleburne County,0
01031,5,AL,Coffee County,0
01033,4,AL,Colbert County,1
01035,6,AL,Conecuh County,0
01037,5,AL,Coosa County,0
01039,6,AL,Covington County,0
01041,6,AL,Crenshaw County,0
01043,5,AL,Cullman County,0
01045,5,AL,Dale County,0
01047,5,AL,Dallas County,0
01049,6,AL,DeKalb County,0
01051,3,AL,Elmore County,1
01053,6,AL,Escambia County,0
01055,4,AL,Etowah County,1
01057,6,AL,Fayette County,0
01059,6,AL,Franklin County,0
01061,4,AL,Geneva County,1
01063,6,AL,Greene County,0
01065,4,AL,Hale County,1
01067,4,AL,Henry County,1
01069,4,AL,Houston County,1
01071,5,AL,Jackson County,0
01073,1,AL,Jefferson County,1
01075,6,AL,Lamar County,0
01077,4,AL,Lauderdale County,1
01079,4,AL,Lawrence County,1
01081,4,AL,Lee County,1
01083,3,AL,Limestone County,1
01085,3,AL,Lowndes County,1
01087,6,AL,Macon County,0
01089,3,AL,Madison County,1
01091,6,AL,Marengo County,0
01093,6,AL,Marion County,0
01095,5,AL,Marshall County,0
01097,3,AL,Mobile County,1
01099,6,AL,Monroe County,0
01101,3,AL,Montgomery County,1
01103,4,AL,Morgan County,1
01105,6,AL,Perry County,0
01107,4,AL,Pickens County,1
01109,5,AL,Pike County,0
01111,6,AL,Randolph County,0
01113,3,AL,Russell County,1
01115,2,AL,St. Clair County,1
01117,2,AL,Shelby County,1
01119,6,AL,Sumter County,0
01121,5,AL,Talladega County,0
01123,6,AL,Tallapoosa County,0
01125,4,AL,Tuscaloosa County,1
01127,2,AL,Walker County,1
01129,6,AL,Washington County,0
01131,6,AL,Wilcox County,0
01133,6,AL,Winston County,0
02013,6,AK,Aleutians East Borough,0
02016,6,AK,Aleutians West Census Area,0
02020,3,AK,Anchorage Municipality,1
02050,6,AK,Bethel Census Area,0
02060,6,AK,Bristol Bay Borough,0
02068,6,AK,Denali Borough,0
02070,6,AK,Dillingham Census Area,0
02090,4,AK,Fairbanks North Star Borough,1
02100,6,AK,Haines Borough,0
02105,6,AK,Hoonah-Angoon Census Area,0
02110,5,AK,Juneau City and Borough,0
02122,6,AK,Kenai Peninsula Borough,0
02130,5,AK,Ketchikan Gateway Borough,0
02150,6,AK,Kodiak Island Borough,0
02158,6,AK,Kusilvak Census Area,0
02164,6,AK,Lake and Peninsula Borough,0
02170,3,AK,Matanuska-Susitna Borough,1
02180,6,AK,Nome Census Area,0
02185,6,AK,North Slope Borough,0
02188,6,AK,Northwest Arctic Borough,0
02195,6,AK,Petersburg Census Area,0
02198,6,AK,Prince of Wales-Hyder Census Area,0
02201,6,AK,Prince of Wales-Outer Ket,0
02220,6,AK,Sitka City and Borough,0
02230,6,AK,Skagway Municipality,0
02232,6,AK,Skagway-Hoonah-Angoon Census Area,0
02240,6,AK,Southeast Fairbanks Census Area,0
02261,6,AK,Valdez-Cordova Census Area,0
02270,6,AK,Wade Hampton Census Area,0
02275,6,AK,Wrangell City and Borough,0
02280,6,AK,Wrangell-Petersburg Census Area,0
02282,6,AK,Yakutat City and Borough,0
02290,6,AK,Yukon-Koyukuk Census Area,0
04001,6,AZ,Apache County,0
04003,4,AZ,Cochise County,1
04005,4,AZ,Coconino County,1
04007,5,AZ,Gila County,0
04009,5,AZ,Graham County,0
04011,6,AZ,Greenlee County,0
04012,6,AZ,La Paz County,0
04013,1,AZ,Maricopa County,1
04015,4,AZ,Mohave County,1
04017,5,AZ,Navajo County,0
04019,3,AZ,Pima County,1
04021,2,AZ,Pinal County,1
04023,5,AZ,Santa Cruz County,0
04025,4,AZ,Yavapai County,1
04027,4,AZ,Yuma County,1
05001,6,AR,Arkansas County,0
05003,6,AR,Ashley County,0
05005,5,AR,Baxter County,0
05007,3,AR,Benton County,1
05009,5,AR,Boone County,0
05011,6,AR,Bradley County,0
05013,5,AR,Calhoun County,0
05015,6,AR,Carroll County,0
05017,6,AR,Chicot County,0
05019,5,AR,Clark County,0
05021,6,AR,Clay County,0
05023,6,AR,Cleburne County,0
05025,4,AR,Cleveland County,1
05027,5,AR,Columbia County,0
05029,6,AR,Conway County,0
05031,4,AR,Craighead County,1
05033,3,AR,Crawford County,1
05035,2,AR,Crittenden County,1
05037,6,AR,Cross County,0
05039,6,AR,Dallas County,0
05041,6,AR,Desha County,0
05043,6,AR,Drew County,0
05045,3,AR,Faulkner County,1
05047,6,AR,Franklin County,0
05049,6,AR,Fulton County,0
05051,4,AR,Garland County,1
05053,3,AR,Grant County,1
05055,5,AR,Greene County,0
05057,6,AR,Hempstead County,0
05059,5,AR,Hot Spring County,0
05061,6,AR,Howard County,0
05063,5,AR,Independence County,0
05065,6,AR,Izard County,0
05067,6,AR,Jackson County,0
05069,4,AR,Jefferson County,1
05071,6,AR,Johnson County,0
05073,6,AR,Lafayette County,0
05075,6,AR,Lawrence County,0
05077,6,AR,Lee County,0
05079,4,AR,Lincoln County,1
05081,4,AR,Little River County,1
05083,6,AR,Logan County,0
05085,3,AR,Lonoke County,1
05087,3,AR,Madison County,1
05089,6,AR,Marion County,0
05091,4,AR,Miller County,1
05093,5,AR,Mississippi County,0
05095,6,AR,Monroe County,0
05097,6,AR,Montgomery County,0
05099,6,AR,Nevada County,0
05101,5,AR,Newton County,0
05103,5,AR,Ouachita County,0
05105,3,AR,Perry County,1
05107,5,AR,Phillips County,0
05109,6,AR,Pike County,0
05111,4,AR,Poinsett County,1
05113,6,AR,Polk County,0
05115,5,AR,Pope County,0
05117,6,AR,Prairie County,0
05119,3,AR,Pulaski County,1
05121,6,AR,Randolph County,0
05123,5,AR,St. Francis County,0
05125,3,AR,Saline County,1
05127,6,AR,Scott County,0
05129,6,AR,Searcy County,0
05131,3,AR,Sebastian County,1
05133,6,AR,Sevier County,0
05135,6,AR,Sharp County,0
05137,6,AR,Stone County,0
05139,5,AR,Union County,0
05141,6,AR,Van Buren County,0
05143,3,AR,Washington County,1
05145,5,AR,White County,0
05147,6,AR,Woodruff County,0
05149,5,AR,Yell County,0
06001,1,CA,Alameda County,1
06003,6,CA,Alpine County,0
06005,6,CA,Amador County,0
06007,4,CA,Butte County,1
06009,6,CA,Calaveras County,0
06011,6,CA,Colusa County,0
06013,2,CA,Contra Costa County,1
06015,5,CA,Del Norte County,0
06017,2,CA,El Dorado County,1
06019,3,CA,Fresno County,1
06021,6,CA,Glenn County,0
06023,5,CA,Humboldt County,0
06025,4,CA,Imperial County,1
06027,6,CA,Inyo County,0
06029,3,CA,Kern County,1
06031,4,CA,Kings County,1
06033,5,CA,Lake County,0
06035,5,CA,Lassen County,0
06037,1,CA,Los Angeles County,1
06039,4,CA,Madera County,1
06041,2,CA,Marin County,1
06043,6,CA,Mariposa County,0
06045,5,CA,Mendocino County,0
06047,3,CA,Merced County,1
06049,6,CA,Modoc County,0
06051,6,CA,Mono County,0
06053,3,CA,Monterey County,1
06055,4,CA,Napa County,1
06057,5,CA,Nevada County,0
06059,1,CA,Orange County,1
06061,2,CA,Placer County,1
06063,6,CA,Plumas County,0
06065,1,CA,Riverside County,1
06067,1,CA,Sacramento County,1
06069,2,CA,San Benito County,1
06071,2,CA,San Bernardino County,1
06073,1,CA,San Diego County,1
06075,1,CA,San Francisco County,1
06077,3,CA,San Joaquin County,1
06079,3,CA,San Luis Obispo County,1
06081,2,CA,San Mateo County,1
06083,3,CA,Santa Barbara County,1
06085,1,CA,Santa Clara County,1
06087,3,CA,Santa Cruz County,1
